LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
6.0,9.0,2.0,1.0,.0,16.0,5.0,.2,8.0,2.0,3.0,.6,17.0,1.0,.0,24.0,3.0,32.5,9.5,2936.8,.1,63.0,.1,163.2,309.1,.2,4.0,8.0,14.0,.2,19.0,44.0,15.0,15.0,32.0,4.0,25.0,N
15.0,7.0,3.0,1.0,19.0,12.0,4.0,.1,6.0,2.0,2.0,.5,17.0,1.0,.0,31.0,1.0,38.6,21.5,17846.2,.3,141.0,.1,991.5,829.5,.3,3.0,6.0,15.0,.1,51.0,90.0,32.0,27.0,67.0,39.2,32.0,Y
27.0,9.0,1.0,4.0,22.0,16.0,5.0,.2,8.0,2.0,3.0,.6,18.0,1.0,.0,29.0,.0,52.0,12.3,7914.7,.2,111.0,.1,439.7,641.7,.2,4.0,8.0,15.0,.1,37.0,74.0,33.0,22.0,83.0,47.3,33.0,Y
7.0,3.0,2.0,.0,.0,4.0,2.0,.2,2.0,2.0,2.0,1.0,6.0,1.0,.0,12.0,2.0,14.6,6.4,604.4,.0,23.0,.2,33.6,94.0,.5,1.0,2.0,6.0,.1,9.0,14.0,7.0,10.0,20.0,.0,12.0,N
51.0,25.0,13.0,.0,14.0,48.0,13.0,.1,24.0,2.0,11.0,.9,96.0,1.0,.0,106.0,2.0,101.3,27.0,74089.9,.9,421.0,.0,4116.1,2739.8,.1,12.0,24.0,85.0,.1,192.0,229.0,71.0,20.0,172.0,11.7,106.0,N
3.0,5.0,2.0,.0,.0,8.0,3.0,.2,4.0,2.0,3.0,1.0,12.0,1.0,.0,15.0,1.0,8.2,18.0,2648.7,.1,36.0,.1,147.2,147.2,.3,2.0,4.0,11.0,.2,15.0,21.0,5.0,12.0,19.0,.0,15.0,N
13.0,9.0,5.0,12.0,16.0,16.0,5.0,.1,8.0,2.0,5.0,1.0,21.0,5.0,1.0,25.0,4.0,38.5,14.3,7820.9,.2,107.0,.1,434.5,548.8,1.0,4.0,8.0,18.0,.1,38.0,69.0,20.0,15.0,67.0,52.8,37.0,N
22.0,29.0,.0,8.0,35.0,44.0,15.0,.3,16.0,2.8,1.0,.1,45.0,3.0,.1,46.0,.0,61.1,22.3,30378.0,.5,239.0,.0,1687.7,1362.4,.2,14.0,22.0,32.0,.1,110.0,129.0,37.0,15.0,112.0,48.3,54.0,N
16.0,9.0,2.0,11.0,28.0,12.0,5.0,.1,4.0,3.0,1.0,.2,21.0,5.0,1.0,34.0,2.0,41.2,20.8,17773.1,.3,155.0,.1,987.4,856.2,1.0,4.0,6.0,18.0,.1,59.0,96.0,27.0,19.0,90.0,53.4,45.0,N
4.0,3.0,.0,2.0,4.0,4.0,2.0,.2,2.0,2.0,1.0,.5,6.0,1.0,.0,10.0,1.0,15.9,9.0,1287.6,.1,35.0,.1,71.5,143.1,.5,1.0,2.0,6.0,.1,16.0,19.0,8.0,9.0,21.0,37.5,12.0,N
23.0,13.0,.0,10.0,17.0,24.0,7.0,.2,12.0,2.0,1.0,.1,27.0,5.0,.7,23.0,3.0,27.4,28.1,21659.6,.3,157.0,.0,1203.3,770.4,.7,6.0,12.0,22.0,.1,43.0,114.0,13.0,17.0,74.0,54.0,33.0,N
23.0,13.0,.0,10.0,17.0,24.0,7.0,.2,12.0,2.0,1.0,.1,27.0,5.0,.7,23.0,3.0,17.5,27.2,12929.9,.2,105.0,.0,718.3,475.0,.7,6.0,12.0,22.0,.1,35.0,70.0,9.0,14.0,74.0,54.0,33.0,N
40.0,9.0,4.0,2.0,15.0,16.0,5.0,.2,8.0,2.0,2.0,.4,21.0,1.0,.0,31.0,.0,47.4,27.5,35852.6,.4,231.0,.0,1991.8,1303.7,.2,4.0,8.0,18.0,.1,70.0,161.0,28.0,22.0,89.0,35.4,33.0,N
23.0,9.0,6.0,3.0,20.0,16.0,5.0,.2,8.0,2.0,2.0,.4,23.0,1.0,.0,24.0,.0,43.1,15.2,9958.0,.2,120.0,.1,553.2,655.1,.2,4.0,8.0,20.0,.1,40.0,80.0,25.0,19.0,71.0,48.9,27.0,N
8.0,3.0,1.0,6.0,5.0,4.0,2.0,.1,2.0,2.0,1.0,.5,7.0,1.0,.0,13.0,1.0,29.6,9.2,2481.0,.1,57.0,.1,137.8,271.0,.5,1.0,2.0,7.0,.1,17.0,40.0,13.0,14.0,33.0,45.8,19.0,N
19.0,3.0,1.0,2.0,.0,4.0,2.0,.1,2.0,2.0,2.0,1.0,23.0,1.0,.0,33.0,.0,64.0,11.7,8685.0,.3,135.0,.1,482.5,745.7,.5,1.0,2.0,23.0,.0,66.0,69.0,34.0,12.0,55.0,5.7,35.0,N
